Course_ID,Section_ID,Title,Details,Meetings_Days,Meetings_Time,Term_Dates,Instructor,Instructor_last,CU,Starting_Time,Term,base_course_quality,base_instructor_quality,base_difficulty,base_work_required,review_rCourseQuality,review_rInstructorQuality,review_rDifficulty,review_rWorkRequired
FNCE-6210,FNCE-6210‐003,Corporate Finance (Half CU),Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Q1, 20 Jan - 2 Mar",Drechsler,Drechsler,0.5,1:45p,Q1,3.0,3.4,2.44,2.22,,,,
FNCE-6210,FNCE-6210‐004,Corporate Finance (Half CU),Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Q1, 20 Jan - 2 Mar",Drechsler,Drechsler,0.5,3:30p,Q1,3.0,3.4,2.44,2.22,,,,
FNCE-6230,FNCE-6230‐001,Macroeconomics and The Global Economic Environment (Half CU),Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Q1, 20 Jan - 2 Mar",Landry,Landry,0.5,8:30a,Q1,2.221,2.639,2.745,1.98,2.439375,2.9306250000000005,2.716875,1.9337499999999999
FNCE-6230,FNCE-6230‐003,Macroeconomics and The Global Economic Environment (Half CU),Cannot be taken Pass/Fail.,MW,10:15a - 11:44a,"Q1, 20 Jan - 2 Mar",Landry,Landry,0.5,10:15a,Q1,2.221,2.639,2.745,1.98,2.439375,2.9306250000000005,2.716875,1.9337499999999999
FNCE-6230,FNCE-6230‐005,Macroeconomics and The Global Economic Environment (Half CU),Cannot be taken Pass/Fail.,MW,1:45p - 3:14p,"Q1, 20 Jan - 2 Mar",Landry,Landry,0.5,1:45p,Q1,2.221,2.639,2.745,1.98,2.439375,2.9306250000000005,2.716875,1.9337499999999999
FNCE-6230,FNCE-6230‐007,Macroeconomics and The Global Economic Environment (Half CU),Cannot be taken Pass/Fail.,MW,3:30p - 4:59p,"Q1, 20 Jan - 2 Mar",Landry,Landry,0.5,3:30p,Q1,2.221,2.639,2.745,1.98,2.439375,2.9306250000000005,2.716875,1.9337499999999999
FNCE-7070,FNCE-7070‐001,Valuation,Cannot be taken Pass/Fail. First class attendance mandatory. Enrolled students who miss the first class will be automatically dropped. Waitlist will shut down at first class,MW,1:45p - 3:14p,"Full, 20 Jan - 23 Apr",Huber,Huber,1.0,1:45p,Full,3.006,3.202,3.232,3.334,2.265,2.45,3.2775000000000003,3.4725
FNCE-7070,FNCE-7070‐002,Valuation,Cannot be taken Pass/Fail. First class attendance mandatory. Enrolled students who miss the first class will be automatically dropped. Waitlist will shut down at first class,MW,3:30p - 4:59p,"Full, 20 Jan - 23 Apr",Huber,Huber,1.0,3:30p,Full,3.006,3.202,3.232,3.334,2.265,2.45,3.2775000000000003,3.4725
FNCE-7190,FNCE-7190‐001,International Financial Markets and Cryptocurrencies,Cannot be taken Pass/Fail.,TR,10:15a - 11:44a,"Full, 20 Jan - 23 Apr",Boualam,Boualam,1.0,10:15a,Full,2.457,2.703,2.931,2.548,2.39,2.59,3.02,2.79
FNCE-7250,FNCE-7250‐001,Fixed Income Securities,Cannot be taken Pass/Fail.,MW,8:30a - 9:59a,"Full, 20 Jan - 23 Apr",Dieckmann,Dieckmann,1.0,8:30a,Full,2.564,2.797,3.45,2.917,3.0021428571428572,3.448571428571428,3.3735714285714287,2.8964285714285714
